Combinacao;Sphere;Schwefel;Rosenbrock;Rastrigin 
p= 1.0, r= 2.0, n= 20, t= 10000;627,9646425363;11,9415215623;1.357.716,9325072786;1.751,6847255116 
p= 1.0, r= 2.0, n= 100, t= 50;410,6884465536;9,1765356330;514.090,5079567094;1.429,6695275737 
p= 1.0, r= 2.0, n= 100, t= 100;365,8932415299;9,0722585597;678.777,2881158524;1.551,1310817287 
p= 1.0, r= 2.0, n= 100, t= 1000;420,7313303121;9,8267847716;445.261,3073006779;1.489,3263580215 
p= 1.0, r= 2.0, n= 100, t= 10000;357,8333118645;8,5716844948;622.377,1467731723;1.575,1269678821 
p= 1.0, r= 2.0, n= 1000, t= 50;63.139,6481860782;51,9380558085;4.451.344.036,1694060000;38.536,4465368671 
p= 1.0, r= 2.0, n= 1000, t= 100;56.761,8055519973;56,9949775263;3.092.115.878,0529118000;50.695,2600130873 
p= 1.0, r= 2.0, n= 1000, t= 1000;46.893,4354049022;61,5521821031;6.568.063.667,9109535000;32.025,7455906190 
p= 1.0, r= 2.0, n= 1000, t= 10000;68.597,8752248050;60,6054468511;4.554.665.515,7234730000;50.666,3344745739 
p= 1.0, r= 4.0, n= 5, t= 50;4.911,4042173628;41,5313925920;92.135.691,9635837100;6.119,3507906866 
p= 1.0, r= 4.0, n= 5, t= 100;5.088,4039160475;43,9688347456;81.067.781,1101243200;5.977,0107040230 
p= 1.0, r= 4.0, n= 5, t= 1000;5.074,1600385015;38,1520258801;101.784.861,8723653900;5.517,3708243509 
p= 1.0, r= 4.0, n= 5, t= 10000;4.591,5016701344;37,0374431680;87.590.477,3422766300;6.141,0417834323 
p= 1.0, r= 4.0, n= 20, t= 50;2.331,9325823499;24,4409767821;22.590.299,2163500820;3.574,6252527486 
p= 1.0, r= 4.0, n= 20, t= 100;2.443,2303462432;21,4358254987;23.474.718,1718493600;3.671,9540951281 
p= 1.0, r= 4.0, n= 20, t= 1000;2.467,5334958151;22,8864309471;19.945.304,2930225600;3.660,1853728463 
p= 1.0, r= 4.0, n= 20, t= 10000;2.449,7977431966;21,3196976268;21.329.511,9918195530;3.712,3217476717 
p= 1.0, r= 4.0, n= 100, t= 50;1.596,9882944655;17,7073132725;8.503.230,9172286300;2.575,4796313453 
